transcript,comic_id
"- Dilbert, das ist Irene. Ich weiss noch nicht, welchen Fehler sie hat.
- HÖREN SIE AUF, UNHÖFLICH ZU MIR ZU SEIN, SIE STÜCK DRECK!!!
- Ich denke, sie ist launisch. Wir sind jetzt wie eine Familie.",050103
"- Verdoppeln Sie die Gewinnerwartung und vergewissern Sie sich, dass die Marktforschung das unterstützt.
- Aber...aber...dazu ist es zu spät! Die Marktforschung is abgeschlossen, die werden höhere Gewinnschätzungen ablehnen!
- Ihr Stress beruht auf einer Mischung von Management-im-Vorübergehen und dem Licht einer Taschenlampe in Ihren Augen.",050104
"- Ich bin eine Opfer von Management-im-Vorübergehen.
- Er spuckt eine Menge irrationaler Anordnungen auf meinen Schreibtisch und watschelt weiter.
- He, he, watscheln ist ein lustiges Wort. Ich fühle, wie Dein Mitgefühl schwindet.",050105
"- Unsere Produkte werden in der neuesten Ausgabe des ""Erpresser-Magazins"" besprochen.
- ""Wenn die mehr Anzeigen in diesem Heft gebucht hätten, würden wir ihre Produkte nicht mit einer Woche alten Spucke vergleichen""
- Immerhin besser als letzten Monat. Wenn wir noch eine halbe Seite Anzeige buchen, schaffen wir es sicher bis zu ""Zwei Tage alter Spucke"".",050106
"- Ich glaube, mein Kopf wird von den vielen neuen Gedanken schwerer.
- Ich plane, das auszugleichen, indem ich ihn bei Meetings mit dem Arm abstütze.
- Manche Leute denken, Du hättest keine Ziele. Auf lange Sicht hoffe ich, auf einer Briefmarke zu erscheinen.",050107
"- Widerlegen Sie diese technische Empfehlung, damit ich sie ablehnen kann.
- Ich kann doch meine eigene Empfehlung nicht widerlegen!
- ...dann mußte ich mir selbst einen Tadel wegen Insubordination schreiben! Lach' Dich aus und geh ins Bett!",050110
"- Ich habe Phil, den Herrscher der Hölle, gebeten, den Anwalt des Teufels zu spielen.
- Ich bin nicht für Teufelsarbeit zugelassen. Das beste, was ich tun kann, ist mit den Augen zu rollen und sarkastisch zu sein.
- Gut...gehen wir weiter... Oh ja, ein guter Punkt um weiterzugehen.",050111
"- Der Eckplatz ist frei geworden. Ich plane, ihn zu übernehmen.
- Genau: ich werde den besten Platz in der ganzen Reihe einnehmen! Fürchten Sie mich!
- Hahaha! Von dort kontrolliere ich die Sonnenblenden und damit die Sonne! Bitte keine Reflexe auf dem Monitor!",050112
"- Alice sitzt jetzt am Eckplatz und kontrolliert die Sonnenblenden! Aaah!!!
- Unser Leben kiegt in den Händen einer Verrückten! Vielleicht ist sie gnädig.
-",050113
"- Alice, ich höre, Sie benutzen ein riesiges Vergrösserungsglas im Büro als Todesstrahler.
- Es ist kein Todesstrahler. Ich benutze es nur, um Toupets abzufackeln. Oh...das ist okay.
- Ist Ihr Kopf zu warm? Mein Kopf ist zu warm.",050114
