transcript,comic_id
"- How long do we have to stay in the basement, Ralph? Until this Y2K thing blows over!
- Trust me, it's pandemonium out there. We might even be the last people on earth!
- Fortunately, I've stockpiled enough supplies to last us for a year!
- Dad, Norman ate all the 'Cheetos'! YOU ATE A YEAR'S SUPPLY OF 'CHEETOS' IN HALF AN HOUR? I had the munchies!",dr000101
"- The year 2000! I can't believe it!
- All my life, I've dreamed about what things would be like in the 21st century, and now I know! Dad...
- I MADE IT! RALPH DRABBLE HAS LIVED TO SEE THE NEW MILLENIUM!! Dad...
- Forgive me foe getting so emotional, boys, but this is the greatest experience of my life! Dad.
- What? My teacher says that the new millennium and the 21st century don't officially start until 2001!
-
- YOU MEAN I GOTTA STAY ALIVE FOR ANOTHER WHOLE YEAR??? Sorry. Better cut back on the donuts!",dr000102
"- In preparation for the Y2K disaster, I stored enough food down here to last an average family for one year.
- Unfortunately, Norman has already eaten all the 'Cheetos'...
- And I'm ashamed to admit that I just polished off the beef jerky and 'Pop Tards'!
- Ralph, what are you saying? For lunch tomorrow, we're going to have to eat the cat!",dr000103
"- As you know, the Y2K bug has thrown the world into chaos.
- Since I had the foresight to lead you all to the basement, we are probably the last people alive.
- Therefore, I think our first order of business is to appoint a supreme leader of planet earth. I believe the choice is clear...
- Congratulations, mom! I was talking about ME!!",dr000104
"- Dad, why do we have to stay down here? Trust me, it's bedlam out there!
- Madison Avenue has worked people into a frenzy over this Y2K thing. I think there's a lot of money to be made in frightening weak-minded people!
- So we'll stay her in the storm cellar until things blow over. I didn't even know we had a storm cellar!
- We didn't until I brought this official Y2K do-it-yourself storm cellar kit!",dr000105
"-
- Hey, the world didn't come to an end! in fact, everything looks pretty normal!
- I think we can all come out now, dad!
- Good! I was getting pretty gamy! We were only down there for six hours!",dr000106
"- Whoa! It's my arch enemy, the evil SOCKFOOT!
- This will be a fight to the finish!
- I will bite and scratch and kick and bite some more!! snarl claw!
- This cat is very lucky my foot is asleep! I will never let go!! bite bite",dr000107
"- Dad, what's the sunshine state` Florida.
- Baseball great pee wee... Reese
- Mitchum of the movies... Robert.
- I love doing crossword puzzles! How do you know?",dr000108
"-
- SLUG BUG! Ow!
- What did you hit me for?? I saw a bug car!
- It's a fun game, dad! Whenever you see a bug car, you have to slug the person next to you and say ""Slug Bug"" before he slugs YOU!
- That's the stupidest thing I've ever heard! Don't play childish games like that with me while I'm driving!!
- You're almost 20 years old! Mix in some maturity, for cryin' out loud!
- Good heavens! There's a time and a place for...
- SLUG BUG!",dr000109
"- 'bye, dad! Where do you think YOU'RE going?
- To the mall. Not until you put your cap on the right way!
- Aww, dad! Everyone wears them like that! Sorry.
- The only person who looks good in a backward baseball cap is Yogi Berra! ...Sigh...",dr000110
"-
-
- BOO!
- 4 feet 8 3/4 inches...a new record for the startled kitty high jump!",dr000111
"- Your total comes to $4.95
- Excuse me...
- ASCHOO!
- May I take your order? I'd like a cheeseburger and a flu shot!",dr000112
"- Show us how fast you can run, Wally!
- run run run run! skattle skattle skattle!
- skattle skattle skattle skattle
- Congratulations, Wally. You just shattered the four-minute yard. pant pant Dachshunds weren't built for speed!",dr000113
"-
- AWWW!!
- Someone got up in the middle of the night and ate all the M&M's in the candy dish!
- Who would do such a thing! maybe we have mice! munch munch More like a big rat!",dr000114
"- chuckle chuckle!
-
- BOOOF!
- I should know better than to try to eat soup when I'm watching 'The Munsters'!",dr000115
"- Ralph, before we eat, let's all silently join hands for a few moments.
-
-
-
-
-
-
-
-
- AAUUGHH I guess it's hard for dad to sit still that long when there's food on the table!",dr000116
"- Dad, I have exciting news!
- I just found out that the 21st century does not officially start until NEXT YEAR!! Do you know what this means??
- It means there is still a possibility that I could make ESPN's list of the greatest athletes of the 20th century!!
- I'll be out practicing my Badminton serve, if anyone needs me! there's very little chance anyone will need you.",dr000117
"- Fetch, Wally!
- skattle skattle
- skattle skattle skattle
- skattle skattle skattle
- skattle skattle
-",dr000118
"- Wally, get out of the kitchen!
- skattle skattle skattle skattle
- skattle skattle skattle skattle
- The only thing slower than a wiener dog is a wiener dog on a linoleum floor!",dr000119
"- run run run run
- skattle skattle skattle skattle
- It's nice to have a dog to go jogging with! skattle skattle skattle",dr000120
"- 'M&M's, crackers and aerosol cheese, and diet soda.
- I don't know what to say, Ralph, other than...
- don't ever make me breakfast in bed again! Here...I couldn't find any napkins!",dr000121
"-
- skattle skattle skattle
- skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle
- Why did they have to put my water dish way over there? Keep going! You should be there by February!",dr000122
"- The red light is flashing on our new answering machine. That means we have a message.
- I can never figure out which button to push to listen to incoming messages! beep!
- Hi! You've reached the Drabbles! We can't come to the phone, but if you'll leave you name and... That wasn't the right button... . beep beep beep! Oops! Now I think I erased our outgoing message!
- beep beep beep beep Darn! Which button is it?? Skip?? Play?? Record?? How come I can never figure anything out??
- I GIVE UP! WHY AM I SO STUPID??
- RING! click! I GIVE UP! WHY AM I SO STUPID?? boop!
- I'll offer my hypothesis, but I may run out of tape!",dr000123
"- knock knock knock! Grammy's here!
- I'm glad your mother is coming to visit, honeybunch, I just hope she doesn't bring her...
- FLASH
- camera! OK, everyone gather around for a group shot!",dr000124
"- Say cheese! Cheeeeeeeezz
-
- WILL YOU HURRY UP AND... FLASH
- Way to go, Ralph! Now we have to do it again! Nobody move until I reload!",dr000125
"- FLASH FLASH FLASH FLASH FLASH FLASH
- Did the flash work? Who said that? Wow, Grammy sure likes to take pictures!",dr000126
"- Ralph, you look so cute in your mall cop outfit! Let me take your picture!
- Actually, I'm kind of late, Grammy... It won't take a minute! Say cheese!
- Cheeeeeeese! cli...
- Rats! I'm out of film again! Wait here while I look through my suitcases!",dr000127
"- Quick, Wally! While Grammy's not looking, run next door and bury her camera in Steinbauer's yard! RUN!
- skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle skattle
- Why is Wally jogging in place with my camera? I need to get this dog some track shoes! skattle skattle skattle",dr000128
"- Ralph, have you seen my camera?
- Ca...ca...camera?? Why, no! I haven't seen it anywhere, Grammy! I can't imagine what could've happened to it!
- Odd...it's like it just disappeared!
- Oh, well...fortunately, I brought a spare! Say cheese!",dr000129
"- Daddy, look at my family homework project! Family homework??
- You guys have to help me decorate these snowflakes!
- Read the instructions.
- ""Using whatever materials you like, decorate the snowflakes to go on display in the classroom.""
- ""Some possibilities are: pipe cleaners, colored paper, paint, fabric, feathers, macaroni, beans, crayons, markers, glitter glue, etc. This is supposed to be a fun activity, not an added stress in your life.""
- HEE HEE HEE HEE What are you laughing at?
- ""Not an added stress..."" GLITTER GLUE!! WE'RE OUT OF GLITTER GLUE!!!",dr000130
"- Oh. look! Ralphie's taking a bubble bath!
- Sorry to bug you, but I have to take a picture! FLASH
- How adorable! Grammy puts the ""bug"" in Shutterbug!",dr000131
"- I can't understand why my cameras keep disappearing! snicker snicker!
- Beats me, Grammy...I certainly had nothing to do with it!
- Things seem to just disappear around here all the time!
- Well, it's a good thing I also brought my CAMCORDER! Wave, Ralph!",dr000201
